"テーブル名: artists (アーティスト・マスター)"
"カラム名","データ型","説明","備考"
"id","Integer","固有ID (主キー)","1, 2, 3..."
"name","String","アーティストの「正」となる名前","例: ""TAKU INOUE"", ""Liyuu"""
"spotify_artist_id","String","SpotifyのアーティストID","(NULL可)"
"notes","Text","備考","例: ""作曲家。B.N.S.I所属"""
"created_at","DateTime","作成日時",""

"テーブル名: artist_aliases (アーティストの別名義)"
"カラム名","データ型","説明","備考"
"id","Integer","固有ID (主キー)",""
"artist_id","Integer","どのアーティストの別名か","(artists.id への外部キー)"
"alias_name","String","別名義","例: ""セイレーン"", ""ナターリア(CV:生田輝)"""
"context","String","文脈メモ","(NULL可) 例: ""キャラクター名義"", ""JASRAC表記"""

"テーブル名: artist_relationships (アーティスト同士の関連)"
"カラム名","データ型","説明","備考"
"id","Integer","固有ID (主キー)",""
"artist_id_1","Integer","アーティストA","(artists.id への外部キー)"
"artist_id_2","Integer","アーティストB","(artists.id への外部キー)"
"relationship_type","String","Aから見たBの関係","例: ""Solo Project Of"", ""Member Of"""

"役割(role)","カテゴリ","説明"
"Artist","特別な役割","その楽曲のメインの発表者/名義。バンド全体やプロジェクト名など。
"Vocalist","歌唱","メインのボーカルを担当。"
"Featured Artist","歌唱","ゲストボーカルやフィーチャリング参加。"
"Character Vocal","歌唱","キャラクター名義の歌唱者。"
"Chorus","歌唱","バックコーラスを担当。"
"Composer","音楽制作","作曲（メロディとコード）を担当。"
"Lyricist","音楽制作","作詞を担当。"
"Arranger","音楽制作","編曲を担当（楽器の配置、リズムなど）。"
"Producer","音楽制作","音楽制作全体のプロデュース、統括を担当。"
"Original Composer","音楽制作","(カバー曲の場合) オリジナルの作曲者。"
"Original Lyricist","音楽制作","(カバー曲の場合) オリジナルの作詞者。"
"Guitarist","演奏","ギター演奏を担当。"
"Bassist","演奏","ベース演奏を担当。"
"Drummer","演奏","ドラム演奏を担当。"
"Keyboardist","演奏","キーボードやピアノ演奏を担当。"
"Strings","演奏","ストリングス（弦楽器）の演奏を担当。"
"Programmer","演奏","打ち込みやサウンドプログラミングを担当。"
"Remixer","特別な役割","既存曲のリミックスバージョンを作成。"
"Mix Engineer","特別な役割","ミキシング（音量バランスの調整）を担当。"
"Mastering Engineer","特別な役割","マスタリング（最終音圧調整）を担当。"

"テーブル名: songs (楽曲マスター)"
"カラム名","データ型","説明","備考"
"id","Integer","固有ID (主キー)","101, 102, 103..."
"title","String","楽曲の「正」となる名前 (JASRAC/LiveFans照合用)","例: ""ソウソウ"""
"release_date","Date","発売日 (曲の初出日)","(ソート用に必須)"
"spotify_song_id","String","Spotifyの楽曲ID","(NULL可, UNIQUE)"
"spotify_title","String","Spotify上の楽曲表記","(NULL可) 例: ""ソウソウ - GAME VERSION"""
"jasrac_code","String","JASRACコード","(NULL可, UNIQUE)"
"jasrac_title","String","JASRAC上の楽曲表記","(NULL可) 例: ""ソウソウ"""
"lyrics","Text","歌詞データ","(NULL可) ※著作権に関する注意"
"created_at","DateTime","作成日時",""

"テーブル名: song_artists_link (楽曲とアーティストの紐付け)"
"カラム名","データ型","説明","備考"
"id","Integer","固有ID (主キー)","(管理用)"
"song_id","Integer","どの曲か","(songs.id への外部キー)"
"artist_id","Integer","どのアーティストか","(artists.id への外部キー)"
"role","String","役割","例: ""Vocalist"", ""Composer"" (UNIQUE(song_id, artist_id, role))"

"テーブル名: tieups (タイアップ先マスター)"
"カラム名","データ型","説明","備考"
"id","Integer","固有ID (主キー)",""
"name","String","タイアップ先の名前","例: ""呪術廻戦"", ""チェンソーマン"""
"category","String","分類","例: ""Anime"", ""Game"", ""CM"""

"テーブル名: song_tieups_link (楽曲とタイアップの紐付け)"
"カラム名","データ型","説明","備考"
"id","Integer","固有ID (主キー)","(管理用)"
"song_id","Integer","どの曲か","(songs.id への外部キー)"
"tieup_id","Integer","どのタイアップ先か","(tieups.id への外部キー)"
"context","String","タイアップ文脈","(NULL可) 例: ""1期 OP"", ""挿入歌"""
"sort_index","Integer","タイアップ内の並び順","(手動管理, 10, 20...) (UNIQUE(tieup_id, sort_index))"

"テーブル名: tours (ツアー)"
"カラム名","データ型","説明","備考"
"id","Integer","固有ID (主キー)",""
"name","String","ツアーの名称","例: ""TOUR 2024『Catcher In The Spy』"""

"テーブル名: performances (公演)"
"カラム名","データ型","説明","備考"
"id","Integer","固有ID (主キー)",""
"artist_id","Integer","どのアーティストの公演か","(artists.id への外部キー, 必須)"
"tour_id","Integer","どのツアーの公演か","(tours.id への外部キー, NULL可)"
"performance_type","String","公演の種類","例: ""Tour"", ""One-Man"", ""Festival"", ""Guest"""
"name","String","公演/イベント名","例: ""ROCK IN JAPAN FES 2024"", ""Debut Anniversary Live"""
"date","Date","公演日","(最終演奏日の計算に使う)"
"venue","String","会場名","(NULL可) 例: ""日本武道館"""

"テーブル名: setlist_entries (セットリストの曲順)"
"カラム名","データ型","説明","備考"
"id","Integer","固有ID (主キー)",""
"performance_id","Integer","どの公演のセトリか","(performances.id への外部キー)"
"song_id","Integer","どの曲か","(songs.id への外部キー)"
"order_index","Integer","曲順","例: 1, 2, 3..."
"notes","String","備考","(NULL可) 例: ""Encore 1"""

"テーブル名: albums (アルバム・マスター)"
"カラム名","データ型","説明","備考"
"id","Integer","固有ID (主キー)",""
"main_title","String","アルバムの「主」タイトル","例: ""Catcher In The Spy"""
"version_title","String","バージョン名（形態）","(NULL可) 例: ""通常盤"", ""初回限定盤A"""
"artist_id","Integer","メインアーティスト","(artists.id への外部キー, NULL可)"
"physical_release_date","Date","物理メディア発売日","(NULL可)"
"digital_release_date","Date","配信開始日","(NULL可)"
"spotify_album_id","String","SpotifyのアルバムID","(NULL可)"
"album_type","String","媒体タイプ","(NULL可) 例: ""Audio"", ""Video"", ""EP"""

"テーブル名: album_tracks (アルバム収録曲)"
"カラム名","データ型","説明","備考"
"id","Integer","固有ID (主キー)",""
"album_id","Integer","どのアルバムか","(albums.id への外部キー)"
"song_id","Integer","どの曲か","(songs.id への外部キー)"
"track_number","Integer","アルバム内の曲順","1, 2, 3..."
"disc_number","Integer","ディスク番号","(NULL可) デフォルト: 1"

"テーブル名: performance_roster (公演参加者名簿)"
"カラム名","データ型","説明","備考"
"id","Integer","固有ID (主キー)",""
"performance_id","Integer","どの公演か","(performances.id への外部キー)"
"artist_id","Integer","どの参加アーティストか","(artists.id への外部キー)"
"role","String","公演における役割","例: ""Guest Vocal"", ""Support Guitar"", ""Opposing Act"" (UNIQUE(performance_id, artist_id))"
"context","String","参加文脈","(NULL可) 例: ""〇〇曲のみ参加"""

"役割(role)","カテゴリ","説明"
"Main Act","主役","その公演の主役/メインアーティスト。"
"Opposing Act","対バン","対バン形式の公演における相手アーティスト。（例: ツーマンライブの相手）"
"Guest Vocal","ゲスト","特定の楽曲やセクションで歌唱ゲストとして参加。"
"Featured Performer","ゲスト","楽曲のフィーチャリング参加のためステージに立ったアーティスト。"
"Support Guitar","サポート","ギター演奏で参加したサポートメンバー。"
"Support Bass","サポート","ベース演奏で参加したサポートメンバー。"
"Support Drums","サポート","ドラム演奏で参加したサポートメンバー。"
"Support Keyboard","サポート","キーボード/ピアノ演奏で参加したサポートメンバー。"
"Support Chorus","サポート","バックコーラスとして参加。"
"Manipulator","サポート","マニピュレーターとして参加。"
"DJ","サポート/ゲスト","ライブ中のDJとして参加。"
"MC/Host","その他","イベントの司会/ホストとして参加。"

"テーブル名: tags (タグ・マスター)"
"カラム名","データ型","説明","備考"
"id","Integer","固有ID (主キー)",""
"name","String","タグ名","(UNIQUE) 例: ""お気に入り"", ""バラード"", ""ライブ定番曲"""
"color","String","色 (UI用)","(NULL可) 例: ""#FF0000"""

"テーブル名: song_tags (楽曲タグ紐付け)"
"カラム名","データ型","説明","備考"
"song_id","Integer","どの曲か","(songs.id への外部キー, 複合主キー)"
"tag_id","Integer","どのタグか","(tags.id への外部キー, 複合主キー)"

"テーブル名: artist_tags (アーティストタグ紐付け)"
"カラム名","データ型","説明","備考"
"artist_id","Integer","どのアーティストか","(artists.id への外部キー, 複合主キー)"
"tag_id","Integer","どのタグか","(tags.id への外部キー, 複合主キー)"

"テーブル名: album_relationships (アルバム同士の関連)"
"カラム名","データ型","説明","備考"
"id","Integer","固有ID (主キー)",""
"album_id_1","Integer","アルバムA (親)","(albums.id への外部キー)"
"album_id_2","Integer","アルバムB (子)","(albums.id への外部キー)"
"relationship_type","String","Aから見たBの関係","例: ""Includes"", ""Version Of"""

"テーブル名: merchandise (グッズ・マスター)"
"カラム名","データ型","説明","備考"
"id","Integer","固有ID (主キー)",""
"name","String","グッズ名","(UNIQUE) 例: ""A4クリアファイル"", ""ツアーTシャツ"""
"merch_type","String","グッズ分類","(NULL可) 例: ""Live Goods"", ""Album Bonus"""

"テーブル名: stores (店舗マスター)"
"カラム名","データ型","説明","備考"
"id","Integer","固有ID (主キー)",""
"name","String","店舗名","(UNIQUE) 例: ""タワーレコード"", ""HMV"""

"テーブル名: album_store_bonuses (店舗別特典紐付け)"
"カラム名","データ型","説明","備考"
"id","Integer","固有ID (主キー)",""
"album_id","Integer","どのアルバムか","(albums.id への外部キー)"
"store_id","Integer","どの店舗か","(stores.id への外部キー)"
"merchandise_id","Integer","どのグッズ（特典）か","(merchandise.id への外部キー)"

"テーブル名: performance_merchandise (公演グッズ紐付け)"
"カラム名","データ型","説明","備考"
"performance_id","Integer","どの公演か","(performances.id への外部キー, 複合主キー)"
"merchandise_id","Integer","どのグッズか","(merchandise.id への外部キー, 複合主キー)"

"テーブル名: merchandise_relationships (グッズ同士の関連)"
"カラム名","データ型","説明","備考"
"id","Integer","固有ID (主キー)",""
"merchandise_id_1","Integer","グッズA (子)","(merchandise.id への外部キー)"
"merchandise_id_2","Integer","グッズB (親)","(merchandise.id への外部キー)"
"relationship_type","String","Aから見たBの関係","例: ""Variation Of"" (～の派生)"

"テーブル名: user_possessions (ユーザーの所有物)"
"カラム名","データ型","説明","備考"
"id","Integer","固有ID (主キー)",""
"entity_type","String","実体の種類","例: ""album"", ""merchandise"""
"entity_id","Integer","実体のID","(例: albums.id, merchandise.id)"
"status","String","所有状況","(NULL可) 例: ""Owned"", ""Wishlist"""
"notes","Text","メモ","(NULL可) 例: ""タワレコ特典付き"""

"テーブル名: user_attendance (ユーザーの公演参加履歴)"
"カラム名","データ型","説明","備考"
"id","Integer","固有ID (主キー)",""
"performance_id","Integer","どの公演か","(performances.id への外部キー)"
"status","String","参加状況","例: ""Attended"" (いった), ""Ticketed"" (予定)"
"notes","Text","メモ","(NULL可) 例: ""最前列だった"""
